epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.5635,0.20278,0.94491,1,0.153,0.000553453,0.000553453,0.000553453
2,95.3793,0.03816,0.93057,1,0.26133,0.00107252,0.00107252,0.00107252
3,144.132,0.05155,0.88701,1,0.33923,0.00155491,0.00155491,0.00155491
4,195.529,0.03731,0.88983,1,0.45566,0.00150197,0.00150197,0.00150197
5,242.66,0.03092,0.92365,1,0.2649,0.00144696,0.00144696,0.00144696
6,290.289,0.02697,0.91186,1,0.41071,0.00139195,0.00139195,0.00139195
7,337.69,0.01698,0.93441,1,0.46409,0.00133693,0.00133693,0.00133693
8,383.85,0.01465,0.94748,1,0.28866,0.00128192,0.00128192,0.00128192
9,430.908,0.01703,0.92493,1,0.38468,0.00122691,0.00122691,0.00122691
10,477.151,0.01535,0.91212,1,0.59614,0.0011719,0.0011719,0.0011719
11,523.499,0.02455,0.92595,1,0.40745,0.00111689,0.00111689,0.00111689
12,571.895,0.01466,0.91904,1,0.54869,0.00106188,0.00106188,0.00106188
13,618.044,0.00808,0.93825,1,0.30969,0.00100687,0.00100687,0.00100687
14,666.522,0.01182,0.9321,1,0.27347,0.000951857,0.000951857,0.000951857
15,714.115,0.00542,0.94517,1,0.27367,0.000896846,0.000896846,0.000896846
16,759.903,0.00905,0.93287,1,0.36201,0.000841835,0.000841835,0.000841835
17,808.544,0.00454,0.96336,1,0.17734,0.000786824,0.000786824,0.000786824
18,859.779,0.00729,0.94594,1,0.33129,0.000731813,0.000731813,0.000731813
19,910.864,0.01154,0.95286,1,0.37762,0.000676802,0.000676802,0.000676802
20,960.362,0.00498,0.93415,1,0.30219,0.000621791,0.000621791,0.000621791
21,1008.51,0.00388,0.94773,1,0.18529,0.00056678,0.00056678,0.00056678
22,1054.36,0.00457,0.92109,1,0.34823,0.000511769,0.000511769,0.000511769
23,1100.39,0.00211,0.92185,1,0.34035,0.000456758,0.000456758,0.000456758
24,1145.67,0.00286,0.94696,1,0.24923,0.000401747,0.000401747,0.000401747
25,1191.6,0.00126,0.94056,1,0.2872,0.000346736,0.000346736,0.000346736
26,1237.02,0.00115,0.94133,1,0.30221,0.000291725,0.000291725,0.000291725
27,1282.34,0.00174,0.94261,1,0.26509,0.000236714,0.000236714,0.000236714
28,1328.52,0.00117,0.93057,1,0.32459,0.000181703,0.000181703,0.000181703
29,1374.71,0.00124,0.92134,1,0.33976,0.000126692,0.000126692,0.000126692
30,1421.01,0.00114,0.92672,1,0.30056,7.1681e-05,7.1681e-05,7.1681e-05
